country_iso3c	party	election_date	manifesto_id	lang	qs_nr	qs_id	text	cmp_code	issue	issue_binary	position
SWE	11110	2006-09-17	11110_200609	swe	8	11110_200609_00008	Vi vill ge människor möjligheten att leva i ett Sverige där jämställdhet mellan könen råder	503	integration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	9	11110_200609_00009	och där lika rättigheter för alla är en självklarhet.	503	integration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	10	11110_200609_00010	Flyktingpolitiken ska göras human	201	immigration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	12	11110_200609_00012	Förslagen i vårt valmanifest grundar sig i en trefaldig solidaritet:	606	immigration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	16	11110_200609_00016	Alla barn har rätt till ett liv i kärlek, respekt och utan diskriminering.	706	integration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	17	11110_200609_00017	Varje barn måste bli sedd och få möjlighet att utvecklas utifrån sina egna förutsättningar.	706	integration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	132	11110_200609_00132	Vi vill stärka och utöka lokala antidiskrimineringsbyråer.	503	integration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	133	11110_200609_00133	Stor vikt ska läggas vid att motverka grogrunderna för rasism och diskriminering.	503	integration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	134	11110_200609_00134	Vi vill ha en generös flyktingpolitik där alla människor behandlas med respekt.	201	immigration	immigration/integration	supportive
SWE	11110	2006-09-17	11110_200609	swe	135	11110_200609_00135	Barnets bästa ska sättas främst i all bedömning av flyktingärenden.	201	immigration	immigration/integration	neutral
SWE	11110	2006-09-17	11110_200609	swe	136	11110_200609_00136	Den som på grund av myndigheternas hantering väntat längre ä nett år på ett slutgiltigt besked på sin asylansökan ska automatiskt få uppehållstillstånd	201	immigration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	22	11220_200609_00022	kön	706	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	23	11220_200609_00023	och etnicitet	705	immigration	immigration/integration	neutral
SWE	11220	2006-09-17	11220_200609	swe	81	11220_200609_00081	kön	706	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	82	11220_200609_00082	eller etnicitet.	705	immigration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	85	11220_200609_00085	och lagen mot etnisk diskriminering skärpas i tillämpningen.	605	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	87	11220_200609_00087	för att bryta rasistiska	503	integration	immigration/integration	neutral
SWE	11220	2006-09-17	11220_200609	swe	88	11220_200609_00088	och sexistiska strukturer,	503	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	92	11220_200609_00092	Turordningsreglerna och företrädesrätten ska återställas.	701	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	93	11220_200609_00093	Utländsk arbetskraft ska inte utnyttjas eller diskrimineras.	701	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	125	11220_200609_00125	och mångfald.	607	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	245	11220_200609_00245	Det behövs också mer personal med annat modersmål än svenska.	607	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	355	11220_200609_00355	Den som har varit utsatt för sexuell exploatering	706	integration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	356	11220_200609_00356	eller förföljelse på grund av kön eller sexuell läggning och söker asyl i Sverige ska kunna få status som flykting.	706	immigration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	357	11220_200609_00357	Vi är motståndare till EU:s allt hårdare flyktingpolitik	110	immigration	immigration/integration	sceptical
SWE	11220	2006-09-17	11220_200609	swe	358	11220_200609_00358	och verkar för att denna ska ersättas av en generös tolkning av asylrätten	503	immigration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	359	11220_200609_00359	och, som ett led i denna strävan, för att Sverige ska lämna Schengensamarbetet.	110	immigration	immigration/integration	supportive
SWE	11220	2006-09-17	11220_200609	swe	360	11220_200609_00360	Väljarna i Frankrike och Nederländerna avvisade förslaget till ny konstitution för EU i folkomröstningar. Vänsterpartiet kommer att motsätta sig varje försök att lyfta förslaget igen	110	immigration	immigration/integration	neutral
SWE	11220	2006-09-17	11220_200609	swe	370	11220_200609_00370	mot rasismens makt ställer vi antirasism,	503	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	71	11320_200609_00071	Ofta är de unga eller har utländsk bakgrund.	706	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	228	11320_200609_00228	Människor drabbas av hatbrott på grund av sina åsikter, sitt ursprung eller sin sexuella läggning.	503	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	257	11320_200609_00257	eller ökad segregation.	503	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	329	11320_200609_00329	Under mandatperioden vill vi förbättra mottagandet av nyanlända.	705	immigration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	330	11320_200609_00330	Det ska gå snabbt att komma i arbete.	705	integration	immigration/integration	sceptical
SWE	11320	2006-09-17	11320_200609	swe	331	11320_200609_00331	Vi vill stärka undervisningen i svenska för invandrare.	705	immigration	immigration/integration	neutral
SWE	11320	2006-09-17	11320_200609	swe	332	11320_200609_00332	Ett personligt etableringskontrakt ska finnas för alla nyanlända flyktingar som bygger på tydliga rättigheter och skyldigheter.	705	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	333	11320_200609_00333	Alla insatser måste anpassas så att varje individ får det stöd man har behov av.	201	integration	immigration/integration	neutral
SWE	11320	2006-09-17	11320_200609	swe	336	11320_200609_00336	Intolerans och fördomar ska bekämpas.	503	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	337	11320_200609_00337	All diskriminering är oacceptabel –	503	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	339	11320_200609_00339	etnicitet,	705	integration	immigration/integration	neutral
SWE	11320	2006-09-17	11320_200609	swe	341	11320_200609_00341	sexuell läggning,	705	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	342	11320_200609_00342	religion eller	705	integration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	373	11320_200609_00373	Vår flyktingpolitik ska vara human och solidarisk.	201	immigration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	374	11320_200609_00374	Den som är i behov av skydd ska få en fristad i vårt land.	201	immigration	immigration/integration	supportive
SWE	11320	2006-09-17	11320_200609	swe	375	11320_200609_00375	Alla ska ha rätt till en individuell och rättssäker prövning av sina asylskäl.	503	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	23	11420_200609_00023	Sverige kommer för alltid att vara ett mångkulturellt land med olika religioner och kulturer sida vid sida – bara om vi ser det och bejakar det blir vi framgångsrika.	607	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	25	11420_200609_00025	Världen blir farligare, trots att mycket utvecklas åt rätt håll.	605	immigration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	33	11420_200609_00033	ett fungerande rättssamhälle	605	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	35	11420_200609_00035	och, sist men inte minst, en samhällsmodell där alla människor – män och kvinnor, invandrare och svenskfödda – får komma till sin rätt och har samma rättigheter och skyldigheter.	503	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	37	11420_200609_00037	Folkpartiet står för ett alternativ, en socialliberal samhällsmodell.	305	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	56	11420_200609_00056	Vi fullföljer det arbetet i vår tid.	305	integration	immigration/integration	supportive
